
&Wall,start X,start Y,end X,end Y,arrow,mode,pointerX1,pointerY1,pointerX2,pointerY2,
Line0,3.33,3.33,50.97,3.33,1,line,NaN,NaN,NaN,NaN,
Line1,3.33,3.33,3.33,33.31,-1,line,NaN,NaN,NaN,NaN,
Line2,3.33,33.31,50.97,33.31,1,line,NaN,NaN,NaN,NaN,
Line3,23.31,3.33,30,14,1,line,NaN,NaN,NaN,NaN,
Line4,23.31,33.31,30,20,1,line,NaN,NaN,NaN,NaN,
Line5,30,14,37,14,-1,line,NaN,NaN,NaN,NaN,
Line6,30,20,37,20,0,line,NaN,NaN,NaN,NaN,
Line7,46,8,46,27,1,line,46,29,46,6,
,
,
&Exit,X,Y,Direction
Exit0,70,3,72,6,0,rect,1
Exit1,70,30,72,33,0,rect,1
,

&Agent,01/InitalX,02/InitialY,02/IniVx,03_IniVy,05/tau,06/tpre,07/p,08/pMode,09/pp2,10/talkRange,11/aType,12/inComp,13/tpre_tau,14/talk_tau,15/talk_prob,15/pp2,radius,mass,maxSpeed
Person0,6.33,13,0.6,0.2,0.3,3,0,fixed,1,3,active,1,0.7,2.6,0.7,0.3,0.35,47,1.2
Person1,7.33,15,1.6,0.3,0.6,16,0.6,random,1,2,active,1,2.3,3.2,0.7,0.6,0.35,60,1.2
Person2,8.33,17,0.3,0.3,3,17,0,fixed,1,3,active,1,2.2,2.3,0.7,0.3,0.3,43,1.2
Person3,9.33,23,1.6,1,2.3,17,0.3,random,1,6,active,1,0.3,1.6,0.7,0.3,0.35,60,1.2
Person4,10.33,16,1.6,0.6,1.3,32,0.4,random,1,3,active,1,0.6,3.3,0.7,0.7,0.25,60,1.2
Person5,11.33,18,0,0,1.6,33,0.36,random,1,2,follow,1,1.6,3.6,0.7,0.6,0.22,60,1.2
Person6,22.33,12,0,0,1.7,36,0.63,random,1,6,follow,1,2.6,4.6,0.7,0.7,0.2,76,1.2
Person7,23.33,16,0.2,0.9,12,47,0.66,random,0,3,search,1,0.3,3.6,0.7,0.2,0.35,60,1.2

,
&GroupA,Person0,Person1,Person2,Person3,Person4,Person5,Person6,Person7,
Person0,0,122.3,0,0,0,0,0,0,
Person1,260,0,30,20,0,0,0,0,
Person2,0,33,2,96,0,1.3,1,0.6,
Person3,0,17,76,0,180,1,0.6,1.2,
Person4,0,0,1,140,0,0,0,0,
Person5,0,0,0,0,0,66,70,0,
Person6,20,0,0,0,0,300,6,0,
Person7,0.2,1,1,0.3,0,1,0,0,
,
,
&GroupB,Person0,Person1,Person2,Person3,Person4,Person5,Person6,Person7,
Person0,1,20,3,1,3,3,6,1,
Person1,36,1,1,1,1,1,1,1,
Person2,2,2,3,30,1,2,1,3,
Person3,1,0.6,23,1,1,1,1,1,
Person4,1,1,1,1,3,1,6,1,
Person5,1.2,1.6,1,1,1,1,2.2,1,
Person6,1,7.6,13.3,1,1,1,1,1,
Person7,1,1,1,0.3,1,3.6,1,1,
,
,
&GroupD,Person0,Person1,Person2,Person3,Person4,Person5,Person6,Person7,
Person0,0,2,1,1,1,3,3,1,
Person1,2,1.3,1,1.6,1,1,1,1,
Person2,6,2,3,1.7,6,6,6,7,
Person3,6,1,1.3,1,1,1,1,1,
Person4,6,1,1,1,1,1.2,1,1,
Person5,6,1.6,1,2.2,1,1,1,1,
Person6,6,1,1,1,1,1,1,1,
Person7,6,1,1,3.2,1,1,1,1,


