
&Wall,start X,start Y,end X,end Y,5/direction,6/shape,7/inComp
Line0,3.33,3.33,49.97,3.33,1,line,1
Line1,3.33,3.33,3.33,33.31,-1,line,1
Line2,3.33,33.31,49.97,33.31,1,line,1
Slash-Line3,23,3.33,30,14,1,line,1
Slash-Line4,23,33.31,30,20,-1,line,1
Line5,30,14,37,14,-1,line,1
Line6,30,20,37,20,0,line,1
Line7,46,8,46,27,1,line,46,29,46,6,
,
,
&exit,StartX,StartY,EndX,EndY,5/direction,6/shape
Exit0,72.3,32,76,34,0,rect,
Exit1,60.3,3,66,5,0,rect,
Exit2,67,17,70,20,0,rect,
,
,
&Agent,00/IniX,01/IniY,02/IniVx,03_IniVy,04_tau,05_tpre,06_p,07/pMode,08/pp2,09/talkRange,10/atype,11/inComp,12/tpre_tau,13/talk_tau,14/talk_prob
Person0,6.33,13,0.6,0.2,0.3,3,0.6,fixed,1,30,active,1,0.7,2.6,0.7
Person1,7.33,15,1.6,0.3,0.6,2,0.6,random,1,31,active,1,2.3,3.2,0.7
Person2,8.33,17,0.3,0.3,3,10,0.3,fixed,1,57,active,1,2.2,2.3,0.7
Person3,9.33,23,1.6,1,2.3,6,0.3,random,1,33,active,1,0.3,1.6,0.7
Person4,10.33,16,1.6,0.6,1.3,22,0.4,random,1,34,active,1,0.6,3.3,0.7
Person5,11.33,18,0,0,1.6,6,0.36,fixed,1,35,follow,1,1.6,3.6,0.7
Person6,22.33,12,0,0,1.7,16,0.63,random,1,36,follow,1,2.6,4.6,0.7
Person7,23.33,16,0.2,0.9,12,23,0.66,random,0,37,search,1,0.3,3.6,0.7
,
,
&Agent2Exit,Exit0,Exit1,Exit2
Person0,0.3,0.2,0.5
Person1,0.7,0.3,0
Person2,0.8,0.2,0
Person3,0.7,0.2,0.1
Person4,0.6,0.3,0.1
Person5,0.7,0.1,0.2
Person6,0.3,0.6,0.1
Person7,0.3,0.5,0.2
,
,
&GroupA,Person0,Person1,Person2,Person3,Person4,Person5,Person6,Person7,
Person0,0,122.3,0,0,0,0,0,0,
Person1,260,0,30,20,0,0,0,0,
Person2,0,33,2,96,0,1.3,1,0.6,
Person3,0,17,76,0,180,1,0.6,1.2,
Person4,0,0,1,140,0,0,0,0,
Person5,0,0,0,0,0,66,70,0,
Person6,20,0,0,0,0,300,6,0,
Person7,0.2,1,1,0.3,0,1,0,0,
,
,
&GroupB,Person0,Person1,Person2,Person3,Person4,Person5,Person6,Person7,
Person0,1,20,3,1,3,3,6,1,
Person1,36,1,1,1,1,1,1,1,
Person2,2,2,3,30,1,2,1,3,
Person3,1,0.6,23,1,1,1,1,1,
Person4,1,1,1,1,3,1,6,1,
Person5,1.2,1.6,1,1,1,1,2.2,1,
Person6,1,7.6,13.3,1,1,1,1,1,
Person7,1,1,1,0.3,1,3.6,1,1,
,
,
&GroupD,Person0,Person1,Person2,Person3,Person4,Person5,Person6,Person7,
Person0,0,2,1,1,1,3,3,1,
Person1,2,1.3,1,1.6,1,1,1,1,
Person2,6,2,3,1.7,6,6,6,7,
Person3,6,1,1.3,1,1,1,1,1,
Person4,6,1,1,1,1,1.2,1,1,
Person5,6,1.6,1,2.2,1,1,1,1,
Person6,6,1,1,1,1,1,1,1,
Person7,6,1,1,3.2,1,1,1,1,


&door,StartX,StartY,EndX,EndY,5/direction,6/shape,7/inComp
Door0,19.6,16,23,20,1,rect,1
Door1,19.6,7,23,10,1,rect,1
Door2,19.6,26,23,30,1,rect,1
,
,
&Exit2Door,DoorID0,DoorID1,DoorID2
ExitID0,1,1,1
ExitID1,1,1,1
ExitID2,1,1,1

