,
"&exit","StartX","StartY","EndX","EndY","5/direction","6/shape","7/inComp"
"Exit0",72.3,32,76,34,0,"rect",1
"Exit1",60.3,3,66,5,0,"rect",1
"Exit2",67,17,70,20,0,"rect",1
,
,
"&Wall","start X","start Y","end X","end Y","5/direction","6/shape","7/inComp"
"Line0",3.33,3.33,49.97,3.33,1,"line",1
"Line1",3.33,3.33,3.33,33.31,-1,"line",1
"Line2",3.33,33.31,49.97,33.31,1,"line",1
"Slash-Line3",23,3.33,30,14,1,"line",1
"Slash-Line4",23,33.31,30,20,-1,"line",1
"Line5",30,14,37,14,-1,"line",1
"Line6",30,20,37,20,0,"line",1
"2DoorLine7",46,8,46,27,1,"line",1
,
&Agent,00/IniX,01/IniY,02/IniVx,03_IniVy,04_tau,05_tpre,06_p,07/pMode,08/p2,09/range,10/atype,11/inComp,12/preMode,13/talk_tau,14/talk_prob
Person0,6.33,13,0.6,0.2,0.3,3,0.6,fixed,1,30,active,1,0.7,2.6,0.7
Person1,7.33,15,1.6,0.3,0.6,2,0.6,random,1,31,active,1,2.3,3.2,0.7
Person2,8.33,17,0.3,0.3,3,10,0.3,fixed,1,57,active,1,2.2,2.3,0.7
,
"&Ped2Exit","Exit0","Exit1","Exit2"
"Person0",0.3,0.2,0.5
"Person1",0.7,0.3,0
"Person2",0.8,0.2,0
,
"&groupC","Person0","Person1","Person2"
"Person0",0,0.3,0.7
"Person1",0.9,0,0.1
"Person2",0.5,0.5,0
,
"&GroupB","Person0","Person1","Person2"
"Person0",1,20,33
"Person1",36,1,32
"Person2",20,23,1
,
"&GroupD","Person0","Person1","Person2"
"Person0",0,2,1
"Person1",2,1.3,1
"Person2",6,2,3
,
"&GroupA","Person0","Person1","Person2"
"Person0",0,122.3,0
"Person1",260,0,30
"Person2",0,33,2

